org,repo,datalake,github
Microsoft,OFFICE365URLSandIPADDRESS,1,1
Microsoft,App-Extensibility-Sample,28,28
Microsoft,VS-Macros,47,12
Microsoft,grunt-jade2amd,2,1
Microsoft,AwaitAdapters,8,8
Microsoft,Reporting-Services,120,91
Microsoft,deprecated-pxt-microbit-cppsample,5,5
Microsoft,AzureBot,362,294
Microsoft,vsts-artifactory,2,2
Microsoft,Cognitive-Vision-Windows,47,42
Microsoft,Cognitive-Video-Windows,23,23
Microsoft,mobile-center-sdk-android,1636,1541
Microsoft,jschema,523,523
Microsoft,ospo-opensource,324,0
Microsoft,URTEST_TERU,2,2
Microsoft,iCMS_WDG_Pilot_II_Prod_az-Latn-AZ,360,366
Microsoft,iCMS_WDG_Pilot_II_Prod_en-HK,1,1
Microsoft,iCMS_WDG_Pilot_II_Prod_et-EE,1110,1117
Microsoft,iCMS_WDG_Pilot_II_Prod_eu-ES,357,363
Microsoft,projection-grid,805,763
Microsoft,AzureSMR,153,146
Microsoft,cdm-sandbox,239,238
Microsoft,windows-itpro-docs,10025,10598
Microsoft,node-fast-plist,30,30
Microsoft,KN,2,2
Microsoft,MIEngineLauncher,789,789
Microsoft,monaco-html,18,20
Microsoft,mobile-center-cli,629,541
Microsoft,Cognitive-Video-FaceTracker,1,1
Microsoft,Microsoft.Shared.Dna.Json,7,6
Microsoft,iis-docker,9,6
Microsoft,Delayed-Compensation-Asynchronous-Stochastic-Gradient-Descent-for-Multiverso,12,12
Microsoft,pxt-deployment-config,56,65
Microsoft,LoopBox-Service,347,343
Microsoft,pxt-microbit-built,200,249
Microsoft,pxt-calliope-built,87,88
Microsoft,SoftFlash,1,1
Microsoft,rms,5,5
Microsoft,PresentationInABox,15,15
Microsoft,pxt-microbit-vscode,21,21
Microsoft,SimpleRestClients,22,20
Microsoft,mobile-center-sdk-specs,26,31
Microsoft,powerbi-visuals-utils-tooltiputils,22,19
Microsoft,pxt-littlebits-arduino,3,3
Microsoft,bkg-api-docs,3,2
Microsoft,WakeYourPC_WebApp,6,6
Microsoft,Prague,367,427
Microsoft,MyShuttle2,1,1
Microsoft,PowerBI-visuals-StrippetsBrowser,126,91
Microsoft,PowerBI-visuals-AttributeSlicer,638,638
